"artist";"title";"day";"hour"
"Alain Souchon";"L'amour A La Machine";"2020-04-05";"06:48"
"Talk Talk";"It's My Life";"2020-04-05";"06:41"
"Corneille";"Parce Qu'on Vient De Loin";"2020-04-05";"06:37"
"Madilyn Bailey";"Titanium";"2020-04-05";"06:33"
"Billy Joel";"Uptown Girl";"2020-04-05";"06:30"
"Florent Pagny";"Chanter";"2020-04-05";"06:27"
"Suzanne Vega";"Luka";"2020-04-05";"06:19"
"Ed Sheeran Feat. Khalid";"Beautiful People";"2020-04-05";"06:16"
"Amel Bent";"Ma Philosophie";"2020-04-05";"06:13"
"Phil Collins";"True Colors";"2020-04-05";"06:09"
"Jason Mraz";"I'm Yours";"2020-04-05";"05:57"
"No Doubt";"Don't Speak";"2020-04-05";"05:48"
"Nea";"Some Say";"2020-04-05";"05:42"
"Ten Sharp";"You";"2020-04-05";"05:37"
"Angele";"Flou";"2020-04-05";"05:34"
"U2";"With Or Without You";"2020-04-05";"05:29"
"Renaud & Axelle Red";"Manhattan Kaboul";"2020-04-05";"05:25"
"Des'ree";"You Gotta Be";"2020-04-05";"05:17"
"Jennifer Lopez";"Jenny From The Block";"2020-04-05";"05:11"
"Francis Cabrel";"C'est Ecrit";"2020-04-05";"05:08"
"Vanessa Carlton";"A Thousand Miles";"2020-04-05";"04:56"
"Culture Club";"Do You Really Want To Hurt Me";"2020-04-05";"04:46"
"Julien Dore";"Le Lac";"2020-04-05";"04:43"
"Celine Dion";"My Heart Will Go On";"2020-04-05";"04:38"
"Mika";"Love Today";"2020-04-05";"04:31"
"Elton John";"Sorry Seems To Be The Hardest Word";"2020-04-05";"04:27"
"The Avener";"Castle In The Snow";"2020-04-05";"04:24"
"Ophelie Winter";"Dieu M'a Donne La Foi";"2020-04-05";"04:09"
"Lady Gaga & Bradley Coope";"Shallow";"2020-04-05";"04:04"
"Cyndi Lauper";"Girls Just Want To Have Fun";"2020-04-05";"04:01"
"Dido";"White Flag";"2020-04-05";"03:54"
"Bryan Adams";"(Everything I Do) I Do It For You";"2020-04-05";"03:50"
"Jeremy Frerot";"Revoir";"2020-04-05";"03:47"
"Shakira";"Whenever Wherever";"2020-04-05";"03:44"
"Elsa Esnoult";"Et Dans La Nuit J'ai Prie";"2020-04-05";"03:41"
"Lene Marlin";"Sitting Down Here";"2020-04-05";"03:38"
